name,description,price,sku,imageUrls,brand
NXB-63H 2P C20 Int. Aut. Termomagnetico P/Riel 2P 20A 230Vac 10Ka Curva C,NXB-63H 2P C20 Int. Aut. Termomagnetico P/Riel 2P 20A 230Vac 10Ka Curva C,21.16,"Código: 813833
CHINT
Ref./Fab: NXB-63H 2P C20
Cant.Disponible: 72
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 21.16",https://store.grupocoinp.com/web/image/product.product/2533/image_1024/%5BNXB-63H%202P%20C20%5D%20Int.%20Aut.%20Termomagnetico%20P-Riel%202P%2020A%20230Vac%2010Ka%20Curva%20C?unique=3b5b9d6,chint-103
NXB-63 2P C20 Int. Aut. Termomagnetico P/Riel 2P 20A 230Vac 6Ka Curva C,NXB-63 2P C20 Int. Aut. Termomagnetico P/Riel 2P 20A 230Vac 6Ka Curva C,13.66,"Código: 814093
CHINT
Ref./Fab: NXB-63 2P C20
Cant.Disponible: 708
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 13.66",https://store.grupocoinp.com/web/image/product.product/2499/image_1024/%5BNXB-63%202P%20C20%5D%20Int.%20Aut.%20Termomagnetico%20P-Riel%202P%2020A%20230Vac%206Ka%20Curva%20C?unique=f4884e3,chint-103
NXB-63H 3P C20 Int. Aut. Termomagnetico P/Riel 3P 20A 230Vac 10Ka Curva C,NXB-63H 3P C20 Int. Aut. Termomagnetico P/Riel 3P 20A 230Vac 10Ka Curva C,29.36,"Código: 813872
CHINT
Ref./Fab: NXB-63H 3P C20
Cant.Disponible: 125
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 29.36",https://store.grupocoinp.com/web/image/product.product/3408/image_1024/%5BNXB-63H%203P%20C20%5D%20Int.%20Aut.%20Termomagnetico%20P-Riel%203P%2020A%20230Vac%2010Ka%20Curva%20C?unique=6e79f7a,chint-103
NXB-63 3P C20 Int. Aut. Termomagnetico P/Riel 3P 20A 230Vac 6Ka Curva C,NXB-63 3P C20 Int. Aut. Termomagnetico P/Riel 3P 20A 230Vac 6Ka Curva C,23.1,"Código: 814171
CHINT
Ref./Fab: NXB-63 3P C20
Cant.Disponible: 87
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 23.10",https://store.grupocoinp.com/web/image/product.product/2510/image_1024/%5BNXB-63%203P%20C20%5D%20Int.%20Aut.%20Termomagnetico%20P-Riel%203P%2020A%20230Vac%206Ka%20Curva%20C?unique=66fff7c,chint-103
NS2-25 1-1.6 Guardamotor Magnetico 3P Reg. 1.0 - 1.6A,NS2-25 1-1.6 Guardamotor Magnetico 3P Reg. 1.0 - 1.6A,78.01,"Código: 495077
CHINT
Ref./Fab: NS2-25 1-1.6
Cant.Disponible: 31
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 78.01",https://store.grupocoinp.com/web/image/product.product/5649/image_1024/%5BNS2-25%201-1.6%5D%20Guardamotor%20Magnetico%203P%20Reg.%20%201.0%20-%201.6A?unique=512d052,chint-103
NXB-63H 1P C2 Int. Aut. Termomagnetico P/Riel 1P 2 A 230Vac 10Ka Curva C,NXB-63H 1P C2 Int. Aut. Termomagnetico P/Riel 1P 2 A 230Vac 10Ka Curva C,10.12,"Código: 813788
CHINT
Ref./Fab: NXB-63H 1P C2
Cant.Disponible: 31
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 10.12",https://store.grupocoinp.com/web/image/product.product/2521/image_1024/%5BNXB-63H%201P%20C2%5D%20Int.%20Aut.%20Termomagnetico%20P-Riel%201P%202%20A%20230Vac%2010Ka%20Curva%20C?unique=0f8975b,chint-103
NXB-63 1P C2 Int. Aut. Termomagnetico P/Riel 1P 2A 230Vac 6Ka Curva C,NXB-63 1P C2 Int. Aut. Termomagnetico P/Riel 1P 2A 230Vac 6Ka Curva C,8.76,"Código: 814009
CHINT
Ref./Fab: NXB-63 1P C2
Cant.Disponible: 122
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 8.76",https://store.grupocoinp.com/web/image/product.product/2487/image_1024/%5BNXB-63%201P%20C2%5D%20Int.%20Aut.%20Termomagnetico%20P-Riel%201P%202A%20230Vac%206Ka%20Curva%20C?unique=d42a88c,chint-103
NXB-63H 1P C20 Int. Aut. Termomagnetico P/Riel 1P 20A 230Vac 10Ka Curva C,NXB-63H 1P C20 Int. Aut. Termomagnetico P/Riel 1P 20A 230Vac 10Ka Curva C,9.79,"Código: 813794
CHINT
Ref./Fab: NXB-63H 1P C20
Cant.Disponible: 39
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 9.79",https://store.grupocoinp.com/web/image/product.product/2522/image_1024/%5BNXB-63H%201P%20C20%5D%20Int.%20Aut.%20Termomagnetico%20P-Riel%201P%2020A%20230Vac%2010Ka%20Curva%20C?unique=acae147,chint-103
NXB-63 1P C20 Int. Aut. Termomagnetico P/Riel 1P 20A 230Vac 6Ka Curva C,NXB-63 1P C20 Int. Aut. Termomagnetico P/Riel 1P 20A 230Vac 6Ka Curva C,6.86,"Código: 814015
CHINT
Ref./Fab: NXB-63 1P C20
Cant.Disponible: 25
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 6.86",https://store.grupocoinp.com/web/image/product.product/2488/image_1024/%5BNXB-63%201P%20C20%5D%20Int.%20Aut.%20Termomagnetico%20P-Riel%201P%2020A%20230Vac%206Ka%20Curva%20C?unique=15751d7,chint-103
NXB-63 2P C2 Int. Aut. Termomagnetico P/Riel 2P 2A 230Vac 6Ka Curva C,NXB-63 2P C2 Int. Aut. Termomagnetico P/Riel 2P 2A 230Vac 6Ka Curva C,15.94,"Código: 814087
CHINT
Ref./Fab: NXB-63 2P C2
Cant.Disponible: 141
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 15.94",https://store.grupocoinp.com/web/image/product.product/2498/image_1024/%5BNXB-63%202P%20C2%5D%20Int.%20Aut.%20Termomagnetico%20P-Riel%202P%202A%20230Vac%206Ka%20Curva%20C?unique=6f57475,chint-103
